<http://bio2rdf.org/drugbank:DB07601>	4-chloro-6-{5-[(2-morpholin-4-ylethyl)amino]-1,2-benzisoxazol-3-yl}benzene-1,3-diol [drugbank:DB07601]
<http://bio2rdf.org/drugbank:BE0001475>	Peptide deformylase [drugbank:BE0001475]
<http://bio2rdf.org/drugbank:DB07734>	N-(1-benzylpiperidin-4-yl)-4-sulfanylbutanamide [drugbank:DB07734]
<http://bio2rdf.org/drugbank:DB05204>	XL418 [drugbank:DB05204]
<http://bio2rdf.org/drugbank:DB05337>	SOT-107 [drugbank:DB05337]
<http://bio2rdf.org/drugbank:DB01282>	Carbetocin [drugbank:DB01282]
<http://bio2rdf.org/drugbank:DB07867>	6-CHLORO-4-(CYCLOHEXYLOXY)-3-PROPYLQUINOLIN-2(1H)-ONE [drugbank:DB07867]
<http://bio2rdf.org/drugbank:BE0003872>	Disintegrin and metalloproteinase domain-containing protein 28 [drugbank:BE0003872]
<http://bio2rdf.org/drugbank:BE0001342>	Gag-Pol polyprotein [drugbank:BE0001342]
<http://bio2rdf.org/drugbank:BE0000276>	Solute carrier family 12 member 7 [drugbank:BE0000276]
<http://bio2rdf.org/drugbank:DB08932>	MACITENTAN [drugbank:DB08932]
<http://bio2rdf.org/drugbank:BE0000143>	Tubulin beta chain [drugbank:BE0000143]
<http://bio2rdf.org/drugbank:BE0000010>	Aminomethyltransferase, mitochondrial [drugbank:BE0000010]
<http://bio2rdf.org/drugbank:DB06402>	Telavancin [drugbank:DB06402]
<http://bio2rdf.org/drugbank:DB02480>	(S)-4-Bromo-3-Hydroxy-3-Methylbutyl Diphosphate [drugbank:DB02480]
<http://bio2rdf.org/drugbank:DB03907>	N-{3-[5-(6-Amino-Purin-9-Yl)-3,4-Dihydroxy-Tetrahydro-Furan-2-Yl]-Allyl}-2,3-Dihydroxy-5-Nitro-Benzamide [drugbank:DB03907]
<http://bio2rdf.org/drugbank:DB04138>	2,4-Dinitro,5-[Bis(2-Bromoethyl)Amino]-N-(2\',3\'-Dioxopropyl)Benzamide [drugbank:DB04138]
<http://bio2rdf.org/drugbank:DB04005>	Uridine 5\'-Triphosphate [drugbank:DB04005]
<http://bio2rdf.org/drugbank:BE0002540>	Alpha-glucosidase [drugbank:BE0002540]
<http://bio2rdf.org/drugbank:DB08099>	6-ethyl-5-[(2S)-1-(3-methoxypropyl)-2-phenyl-1,2,3,4-tetrahydroquinolin-7-yl]pyrimidine-2,4-diamine [drugbank:DB08099]
<http://bio2rdf.org/drugbank:DB07733>	1-METHYL-3-TRIFLUOROMETHYL-1H-THIENO[2,3-C]PYRAZOLE-5-CARBOXYLIC ACID (2-MERCAPTO-ETHYL)-AMIDE [drugbank:DB07733]
<http://bio2rdf.org/drugbank:BE0001474>	Tryptase beta-2 [drugbank:BE0001474]
<http://bio2rdf.org/drugbank:DB07866>	(5S)-2-(cyclooctylamino)-5-methyl-5-propyl-1,3-thiazol-4(5H)-one [drugbank:DB07866]
<http://bio2rdf.org/drugbank:DB01150>	Cefprozil [drugbank:DB01150]
<http://bio2rdf.org/drugbank:DB05205>	CX157 [drugbank:DB05205]
<http://bio2rdf.org/drugbank:DB05338>	atamestane-plus-toremifene [drugbank:DB05338]
<http://bio2rdf.org/drugbank:DB07999>	{4-[(CARBOXYMETHOXY)CARBONYL]-3,3-DIOXIDO-1-OXONAPHTHO[1,2-D]ISOTHIAZOL-2(1H)-YL}ACETIC ACID [drugbank:DB07999]
<http://bio2rdf.org/drugbank:DB01283>	Lumiracoxib [drugbank:DB01283]
<http://bio2rdf.org/drugbank:DB00085>	Pancrelipase [drugbank:DB00085]
<http://bio2rdf.org/drugbank:DB02709>	Resveratrol [drugbank:DB02709]
<http://bio2rdf.org/drugbank:BE0001341>	Tyrosine-protein kinase ITK/TSK [drugbank:BE0001341]
<http://bio2rdf.org/drugbank:BE0003740>	Nuclear receptor coactivator 2 [drugbank:BE0003740]
<http://bio2rdf.org/drugbank:BE0003873>	Peptide deformylase [drugbank:BE0003873]
